GRUPO ETÁRIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,16175495,16273984,16369179,16461173,16550024,16635996,16718956,16798421,16874306,16946541
0-4,1081641,1066224,1052291,1039689,1028195,1017525,1007396,997589,987944,978373
5-9,1175101,1152339,1130990,1111142,1092832,1076073,1060864,1047121,1034697,1023368
10-14,1299737,1280702,1256325,1228193,1198464,1174542,1151870,1130600,1110826,1092583
15-19,1297640,1309447,1318652,1323865,1323473,1310962,1291946,1267546,1239343,1209511
20-24,1245220,1251848,1265262,1280726,1294883,1308133,1320106,1329441,1334750,1334401
25-29,1324683,1302389,1276390,1255047,1243566,1241109,1248043,1261708,1277390,1291747
30-34,1311062,1321306,1328521,1330081,1324786,1312123,1290440,1265057,1244266,1233241
35-39,1220054,1237351,1254864,1271040,1284732,1296487,1307104,1314705,1316698,1311878
40-44,1137169,1145939,1157957,1171940,1186912,1203134,1220721,1238516,1254986,1268991
45-49,1116050,1114466,1110621,1108349,1110081,1115498,1124711,1137098,1151402,1166679
50-54,1023242,1042364,1059086,1071919,1080153,1084034,1083288,1080327,1078880,1081309
55-59,861846,888114,913347,937220,959460,980131,999482,1016524,1029806,1038631
60-64,674803,703373,730833,757873,784849,811377,837197,862048,885620,907655
65-69,472774,499314,529447,560210,589728,618244,645566,671913,697906,723853
70-74,360742,365378,371083,380605,395448,415076,439540,467183,495412,522586
75-79,264333,270941,278010,284690,290648,296138,300981,306749,315737,329194
80-84,174716,178884,182689,186736,191342,196518,202457,208727,214671,220041
85-89,86996,92498,98015,103071,107457,111343,114786,118038,121462,125247
90+,47686,51107,54796,58777,63015,67549,72458,77531,82510,87253
