ano,total,homens,mulheres
2000,14802363,7197139,7605224
2001,14954176,7266213,7687963
2002,15100157,7332889,7767268
2003,15240284,7397126,7843158
2004,15374696,7458980,7915716
2005,15503631,7518558,7985073
2006,15627358,7575981,8051377
2007,15746038,7631321,8114717
2008,15859866,7684666,8175200
2009,15969092,7736116,8232976
2010,16074006,7785800,8288206
2011,16175495,7834113,8341382
2012,16273984,7881209,8392775
2013,16369179,7926918,8442261
2014,16461173,7971268,8489905
2015,16550024,8014276,8535748
2016,16635996,8056070,8579926
2017,16718956,8096561,8622395
2018,16798421,8135487,8662934
2019,16874306,8172784,8701522
2020,16946541,8208410,8738131
2021,17014734,8242118,8772616
2022,17078778,8273837,8804941
2023,17138897,8303703,8835194
2024,17195010,8331674,8863336
2025,17247068,8357708,8889360
2026,17294738,8381658,8913080
2027,17337930,8403481,8934449
2028,17376801,8423212,8953589
2029,17411225,8440785,8970440
2030,17441020,8456109,8984911
